time,lat,lon,pitch,roll,yaw,pitch_rate,roll_rate,yaw_rate,pitch_gain,roll_gain,yaw_gain,pitch_setpoint,roll_setpoint,yaw_setpoint,throttle_setpoint,editing_gain
1417460,0.0,0.0,-146.76283264160156,149.4604949951172,-47.438087463378906,-0.1580352783203125,-0.022083137184381485,0.019347254186868668,0.0,0.31496062874794006,25.944881439208984,-8,51,-11,0,b'\x02'
1417680,0.0,0.0,-146.0489959716797,149.50633239746094,-48.80746078491211,0.09795180708169937,0.0840432345867157,0.17002785205841064,0.0,0.31496062874794006,25.944881439208984,-27,49,-11,0,b'\x02'
1417900,0.0,0.0,-145.9752960205078,149.68338012695312,-51.689083099365234,0.09891989827156067,-0.06462610512971878,0.21372555196285248,0.0,0.31496062874794006,25.944881439208984,-1,52,-11,0,b'\x02'
1418120,0.0,0.0,-143.92869567871094,147.81210327148438,-54.58787536621094,-0.10700247436761856,-0.027775589376688004,0.2361879050731659,0.0,0.31496062874794006,25.944881439208984,-15,50,-11,0,b'\x02'
1418340,0.0,0.0,-140.798583984375,143.6892547607422,-56.776329040527344,0.021169215440750122,-0.3356623947620392,0.24618744850158691,0.0,0.31496062874794006,25.944881439208984,-13,54,-10,0,b'\x02'
1418560,0.0,0.0,-139.7538299560547,141.75396728515625,-57.7611083984375,0.027894025668501854,-0.15949559211730957,0.14829064905643463,0.0,0.31496062874794006,25.944881439208984,-27,50,-12,0,b'\x02'
1418780,0.0,0.0,-139.76686096191406,141.4744415283203,-58.30545425415039,-0.0004895832389593124,-0.07107555121183395,0.10144594311714172,0.0,0.31496062874794006,25.944881439208984,-19,50,-11,0,b'\x02'
1419000,0.0,0.0,-139.61468505859375,141.58934020996094,-58.715911865234375,0.008722996339201927,-0.09635903686285019,0.10380709171295166,0.0,0.31496062874794006,25.944881439208984,-26,44,-11,0,b'\x02'
1419220,0.0,0.0,-138.73294067382812,142.11386108398438,-58.954124450683594,-0.010704515501856804,0.062119584530591965,0.11499717086553574,0.0,0.31496062874794006,25.944881439208984,-48,37,-11,0,b'\x02'
1419440,0.0,0.0,-140.20838928222656,145.02395629882812,-60.853668212890625,0.168609619140625,0.060696665197610855,0.16286200284957886,0.0,0.31496062874794006,25.944881439208984,-76,33,-12,0,b'\x02'
1419660,0.0,0.0,-142.92640686035156,147.97129821777344,-63.81962966918945,0.38542890548706055,-0.16943427920341492,0.15373605489730835,0.0,0.31496062874794006,25.944881439208984,-89,50,-11,0,b'\x02'
1419880,0.0,0.0,-149.4005584716797,153.2084197998047,-66.07099151611328,0.30370962619781494,-0.09174014627933502,0.010660633444786072,0.0,0.31496062874794006,25.944881439208984,-85,61,-9,0,b'\x02'
1420100,0.0,0.0,-155.43728637695312,157.80747985839844,-66.84406280517578,0.032702866941690445,-0.03837800770998001,0.019293852150440216,0.0,0.31496062874794006,25.944881439208984,15,52,-15,0,b'\x02'
